solution_id,subject_name,unit_number,topic_name,difficulty_level,requires_diagram,marks,question_text,solution_text
1,Operating System,2,General OS,Easy,No,2,Explain kernel with example.,"Kernel is the core of OS that manages CPU, memory, and devices."
2,Operating System,3,General OS,Easy,No,2,What is system calls?,System calls allow programs to request services from OS.
3,Operating System,4,General OS,Easy,No,2,What is process?,A process is a program in execution.
4,Operating System,5,General OS,Easy,No,2,Explain thread with example.,A thread is the smallest unit of execution within a process.
5,Operating System,1,General OS,Easy,No,2,What is concurrency?,Concurrency is execution of multiple tasks simultaneously.
6,Operating System,2,General OS,Easy,No,2,Explain semaphore.,Semaphore controls access to shared resources.
7,Operating System,3,General OS,Easy,No,2,What is deadlock?,Deadlock is a situation where processes wait indefinitely.
8,Operating System,4,General OS,Easy,No,2,What is cpu scheduling?,CPU scheduling selects which process runs next.
9,Operating System,5,General OS,Easy,No,2,Explain fcfs.,FCFS executes processes in arrival order.
10,Operating System,1,General OS,Easy,No,2,What is sjf?,SJF selects shortest job first.
11,Operating System,2,General OS,Easy,No,2,Explain round robin.,Round Robin gives equal time to each process.
12,Operating System,3,General OS,Easy,No,2,What is priority scheduling?,Priority scheduling executes higher priority first.
13,Operating System,4,General OS,Easy,No,2,What is paging?,Paging divides memory into pages.
14,Operating System,5,General OS,Easy,No,2,Explain segmentation.,Segmentation divides memory logically.
15,Operating System,1,General OS,Easy,No,2,What is virtual memory?,Virtual memory uses disk as RAM extension.
16,Operating System,2,General OS,Easy,No,2,Explain page replacement.,Page replacement replaces pages in memory.
17,Operating System,3,General OS,Easy,No,2,What is memory allocation?,Memory allocation assigns memory to processes.
18,Operating System,4,General OS,Easy,No,2,What is i/o system?,I/O system handles device communication.
19,Operating System,5,General OS,Easy,No,2,Explain disk scheduling.,Disk scheduling orders disk requests.
20,Operating System,1,General OS,Easy,No,2,What is raid?,RAID combines disks for reliability.
21,Operating System,2,General OS,Easy,No,2,Explain file system.,File system manages storage.
22,Operating System,3,General OS,Easy,No,2,What is directory?,Directory organizes files.
23,Operating System,4,General OS,Easy,No,2,What is operating system?,An operating system (OS) manages hardware and software resources and provides an interface between user and computer.
24,Operating System,5,General OS,Easy,No,2,Explain kernel with example.,"Kernel is the core of OS that manages CPU, memory, and devices."
25,Operating System,1,General OS,Easy,No,2,What is system calls?,System calls allow programs to request services from OS.
26,Operating System,2,General OS,Easy,No,2,What is process?,A process is a program in execution.
27,Operating System,3,General OS,Easy,No,2,Explain thread with example.,A thread is the smallest unit of execution within a process.
28,Operating System,4,General OS,Easy,No,2,What is concurrency?,Concurrency is execution of multiple tasks simultaneously.
29,Operating System,5,General OS,Easy,No,2,Explain semaphore.,Semaphore controls access to shared resources.
30,Operating System,1,General OS,Easy,No,2,What is deadlock?,Deadlock is a situation where processes wait indefinitely.
31,Operating System,2,General OS,Easy,No,2,What is cpu scheduling?,CPU scheduling selects which process runs next.
32,Operating System,3,General OS,Easy,No,2,Explain fcfs.,FCFS executes processes in arrival order.
33,Operating System,4,General OS,Easy,No,2,What is sjf?,SJF selects shortest job first.
34,Operating System,5,General OS,Easy,No,2,Explain round robin.,Round Robin gives equal time to each process.
35,Operating System,1,General OS,Easy,No,2,What is priority scheduling?,Priority scheduling executes higher priority first.
36,Operating System,2,General OS,Easy,No,2,What is paging?,Paging divides memory into pages.
37,Operating System,3,General OS,Easy,No,2,Explain segmentation.,Segmentation divides memory logically.
38,Operating System,4,General OS,Easy,No,2,What is virtual memory?,Virtual memory uses disk as RAM extension.
39,Operating System,5,General OS,Easy,No,2,Explain page replacement.,Page replacement replaces pages in memory.
40,Operating System,1,General OS,Easy,No,2,What is memory allocation?,Memory allocation assigns memory to processes.
41,Operating System,2,General OS,Easy,No,2,What is i/o system?,I/O system handles device communication.
42,Operating System,3,General OS,Easy,No,2,Explain disk scheduling.,Disk scheduling orders disk requests.
43,Operating System,4,General OS,Easy,No,2,What is raid?,RAID combines disks for reliability.
44,Operating System,5,General OS,Easy,No,2,Explain file system.,File system manages storage.
45,Operating System,1,General OS,Easy,No,2,What is directory?,Directory organizes files.
46,Operating System,2,General OS,Easy,No,2,What is operating system?,An operating system (OS) manages hardware and software resources and provides an interface between user and computer.
47,Operating System,3,General OS,Easy,No,2,Explain kernel with example.,"Kernel is the core of OS that manages CPU, memory, and devices."
48,Operating System,4,General OS,Easy,No,2,What is system calls?,System calls allow programs to request services from OS.
49,Operating System,5,General OS,Easy,No,2,What is process?,A process is a program in execution.
50,Operating System,1,General OS,Easy,No,2,Explain thread with example.,A thread is the smallest unit of execution within a process.
51,Operating System,2,General OS,Easy,No,2,What is concurrency?,Concurrency is execution of multiple tasks simultaneously.
52,Operating System,3,General OS,Easy,No,2,Explain semaphore.,Semaphore controls access to shared resources.
53,Operating System,4,General OS,Easy,No,2,What is deadlock?,Deadlock is a situation where processes wait indefinitely.
54,Operating System,5,General OS,Easy,No,2,What is cpu scheduling?,CPU scheduling selects which process runs next.
55,Operating System,1,General OS,Easy,No,2,Explain fcfs.,FCFS executes processes in arrival order.
56,Operating System,2,General OS,Easy,No,2,What is sjf?,SJF selects shortest job first.
57,Operating System,3,General OS,Easy,No,2,Explain round robin.,Round Robin gives equal time to each process.
58,Operating System,4,General OS,Easy,No,2,What is priority scheduling?,Priority scheduling executes higher priority first.
59,Operating System,5,General OS,Easy,No,2,What is paging?,Paging divides memory into pages.
60,Operating System,1,General OS,Easy,No,2,Explain segmentation.,Segmentation divides memory logically.
61,Operating System,2,General OS,Easy,No,2,What is virtual memory?,Virtual memory uses disk as RAM extension.
62,Operating System,3,General OS,Easy,No,2,Explain page replacement.,Page replacement replaces pages in memory.
63,Operating System,4,General OS,Easy,No,2,What is memory allocation?,Memory allocation assigns memory to processes.
64,Operating System,5,General OS,Easy,No,2,What is i/o system?,I/O system handles device communication.
65,Operating System,1,General OS,Easy,No,2,Explain disk scheduling.,Disk scheduling orders disk requests.
66,Operating System,2,General OS,Easy,No,2,What is raid?,RAID combines disks for reliability.
67,Operating System,3,General OS,Easy,No,2,Explain file system.,File system manages storage.
68,Operating System,4,General OS,Easy,No,2,What is directory?,Directory organizes files.
69,Operating System,5,General OS,Easy,No,2,What is operating system?,An operating system (OS) manages hardware and software resources and provides an interface between user and computer.
70,Operating System,1,General OS,Easy,No,2,Explain kernel with example.,"Kernel is the core of OS that manages CPU, memory, and devices."
71,Operating System,2,General OS,Easy,No,2,What is system calls?,System calls allow programs to request services from OS.
72,Operating System,3,General OS,Easy,No,2,What is process?,A process is a program in execution.
73,Operating System,4,General OS,Easy,No,2,Explain thread with example.,A thread is the smallest unit of execution within a process.
74,Operating System,5,General OS,Easy,No,2,What is concurrency?,Concurrency is execution of multiple tasks simultaneously.
75,Operating System,1,General OS,Easy,No,2,Explain semaphore.,Semaphore controls access to shared resources.
76,Operating System,2,General OS,Easy,No,2,What is deadlock?,Deadlock is a situation where processes wait indefinitely.
77,Operating System,3,General OS,Easy,No,2,What is cpu scheduling?,CPU scheduling selects which process runs next.
78,Operating System,4,General OS,Easy,No,2,Explain fcfs.,FCFS executes processes in arrival order.
79,Operating System,5,General OS,Easy,No,2,What is sjf?,SJF selects shortest job first.
80,Operating System,1,General OS,Easy,No,2,Explain round robin.,Round Robin gives equal time to each process.
81,Operating System,2,General OS,Easy,No,2,What is priority scheduling?,Priority scheduling executes higher priority first.
82,Operating System,3,General OS,Easy,No,2,What is paging?,Paging divides memory into pages.
